unix,open,high,low,close,vwap,volume,tradecount,date,volume_from,Name,vwap_
1638801240,42798.4,42798.4,42596.6,42765.8,42673.0,2.85412073,54,2021-12-06 14:34:00,122058.75631503401,BTCEUR,42475.2
1638801300,42726.4,42755.5,42669.8,42689.1,42715.3,0.44963006,52,2021-12-06 14:35:00,19194.302594345998,BTCEUR,42475.26
1638801360,42701.5,42748.9,42701.5,42701.6,42710.8,0.64967613,36,2021-12-06 14:36:00,27742.210232808,BTCEUR,42475.35
1638801420,42718.9,42744.6,42608.5,42608.5,42693.1,1.29329977,35,2021-12-06 14:37:00,55105.563250045,BTCEUR,42475.45
1638801480,42624.7,42648.3,42502.1,42542.4,42558.4,2.77490323,91,2021-12-06 14:38:00,118051.04317195201,BTCEUR,42475.57
1638801540,42576.7,42585.1,42474.4,42474.4,42523.9,2.28316893,75,2021-12-06 14:39:00,96976.230400392,BTCEUR,42475.57
1638801600,42474.4,42587.6,42420.1,42576.0,42458.4,4.73525856,97,2021-12-06 14:40:00,201608.36845056,BTCEUR,42475.85
1638801660,42554.8,42554.8,42453.2,42492.3,42527.8,3.05969080,51,2021-12-06 14:41:00,130013.29938084,BTCEUR,42475.88
1638801720,42492.3,42622.8,42492.3,42574.6,42601.6,3.63746071,50,2021-12-06 14:42:00,154863.434743966,BTCEUR,42476.1
1638801780,42616.3,42714.0,42605.0,42696.7,42657.4,1.73380570,46,2021-12-06 14:43:00,74027.78183118999,BTCEUR,42476.33
